solution;cost;deviation ;time;generations;init_time
[20, 1, 37, 7, 31, 10, 29, 2, 15, 5, 21, 54, 27, 22, 55, 48, 24, 23, 52, 49, 0, 13, 8, 41, 3, 44, 26, 11, 36, 6, 12, 51, 45, 25, 32, 19, 28, 35, 43, 9, 14, 30, 16, 47, 4, 17, 50, 39, 53, 42, 18, 33, 46, 34, 40, 38];34458;0;73,72;8;0,059
[20, 1, 37, 7, 31, 10, 29, 2, 15, 5, 21, 54, 27, 22, 55, 48, 24, 23, 52, 49, 0, 13, 8, 41, 3, 44, 26, 11, 36, 6, 12, 51, 45, 25, 32, 19, 28, 35, 43, 9, 14, 30, 16, 47, 4, 17, 50, 39, 53, 42, 18, 33, 46, 34, 40, 38];34458;0;63,006;7;0,056
[38, 40, 34, 46, 33, 18, 42, 53, 39, 50, 17, 4, 47, 16, 30, 14, 9, 43, 35, 28, 19, 32, 25, 45, 51, 12, 6, 36, 11, 26, 44, 3, 41, 8, 13, 0, 49, 52, 23, 24, 48, 55, 22, 27, 54, 21, 5, 15, 2, 29, 10, 31, 7, 37, 1, 20];34458;0;211,692;22;0,058
[38, 40, 34, 46, 33, 18, 42, 53, 39, 50, 17, 4, 47, 16, 30, 14, 9, 43, 35, 28, 19, 32, 25, 45, 51, 12, 6, 36, 11, 26, 44, 3, 41, 8, 13, 0, 49, 52, 23, 24, 48, 55, 22, 27, 54, 21, 5, 15, 2, 29, 10, 31, 7, 37, 1, 20];34458;0;31,749;4;0,057
[38, 40, 34, 46, 33, 18, 42, 53, 39, 50, 17, 4, 47, 16, 30, 14, 9, 43, 35, 28, 19, 32, 25, 45, 51, 12, 6, 36, 11, 26, 44, 3, 41, 8, 13, 0, 49, 52, 23, 24, 48, 55, 22, 27, 54, 21, 5, 15, 2, 29, 10, 31, 7, 37, 1, 20];34458;0;150,854;16;0,055
[2, 29, 10, 31, 7, 37, 1, 20, 48, 55, 22, 27, 54, 21, 5, 15, 41, 8, 13, 0, 49, 52, 23, 24, 51, 12, 6, 36, 11, 26, 44, 3, 9, 43, 35, 28, 19, 32, 25, 45, 39, 50, 17, 4, 47, 16, 30, 14, 38, 40, 34, 46, 33, 18, 42, 53];34458;0;172,315;18;0,067
[53, 42, 18, 33, 46, 34, 40, 38, 14, 30, 16, 47, 4, 17, 50, 39, 45, 25, 32, 19, 28, 35, 43, 9, 3, 44, 26, 11, 36, 6, 12, 51, 24, 23, 52, 49, 0, 13, 8, 41, 15, 5, 21, 54, 27, 22, 55, 48, 20, 1, 37, 7, 31, 10, 29, 2];34458;0;113,916;12;0,069
[38, 40, 34, 46, 33, 18, 42, 53, 39, 50, 17, 4, 47, 16, 30, 14, 9, 43, 35, 28, 19, 32, 25, 45, 51, 12, 6, 36, 11, 26, 44, 3, 41, 8, 13, 0, 49, 52, 23, 24, 48, 55, 22, 27, 54, 21, 5, 15, 2, 29, 10, 31, 7, 37, 1, 20];34458;0;55,248;6;0,055
[53, 42, 18, 33, 46, 34, 40, 38, 14, 30, 16, 47, 4, 17, 50, 39, 45, 25, 32, 19, 28, 35, 43, 9, 3, 44, 26, 11, 36, 6, 12, 51, 24, 23, 52, 49, 0, 13, 8, 41, 15, 5, 21, 54, 27, 22, 55, 48, 20, 1, 37, 7, 31, 10, 29, 2];34458;0;30,697;4;0,067
[53, 42, 18, 33, 46, 34, 40, 38, 14, 30, 16, 47, 4, 17, 50, 39, 45, 25, 32, 19, 28, 35, 43, 9, 3, 44, 26, 11, 36, 6, 12, 51, 24, 23, 52, 49, 0, 13, 8, 41, 15, 5, 21, 54, 27, 22, 55, 48, 20, 1, 37, 7, 31, 10, 29, 2];34458;0;198,08;20;0,055
